"frpos";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"NOMcom PROper VERcjg";6862;46;183;255;223;145;257;160;220;195;207;209;217;103;273;141;250;256;236;179;196;234;239;305;233;293;284;266;242;216;197;129;118;155
"PROper PROper VERcjg";6379;37;125;252;207;139;198;118;296;254;186;191;279;133;281;147;256;272;221;168;215;233;203;199;147;204;200;201;212;233;182;123;87;180
"PRE DETpos NOMcom";5321;48;190;192;160;116;150;229;179;216;152;165;149;42;123;84;113;207;185;115;169;175;201;222;132;209;259;159;164;225;233;105;127;126
"PROper VERcjg PRE";4654;54;146;198;163;103;158;124;192;133;139;142;177;54;162;107;146;165;189;112;151;170;175;185;150;181;179;166;153;136;103;84;69;88
"PROper VERcjg ADVgen";4310;29;71;157;152;66;107;63;181;152;107;136;158;87;189;103;167;129;148;108;127;153;173;185;126;159;186;162;177;154;117;85;83;113
"PRE DETdef NOMcom";3614;75;89;146;146;66;117;116;91;85;144;181;106;42;149;67;117;109;140;73;106;102;145;118;136;151;149;116;127;99;107;74;64;61
"PROper VERcjg PROper";3513;20;55;157;106;80;123;54;121;84;90;103;156;60;127;83;147;159;131;103;129;166;131;143;88;134;108;113;88;125;112;80;47;90
"PROper VERcjg VERppe";3508;24;88;134;117;64;107;91;139;125;118;96;134;72;121;93;96;216;122;86;129;148;114;98;87;92;143;107;121;127;113;57;46;83
"DETdef NOMcom PRE";2935;57;102;112;121;77;103;124;79;59;107;113;84;30;107;60;85;96;125;73;89;107;100;89;98;110;106;94;78;88;91;59;58;54
"DETpos NOMcom PROper";2905;7;112;111;99;69;105;93;95;74;78;60;71;28;90;55;87;138;101;78;101;113;102;130;73;106;136;97;89;104;111;56;57;79
"PROper ADVneg VERcjg";2780;18;66;117;82;36;93;52;102;54;95;98;102;37;93;42;81;132;133;91;117;126;109;104;86;117;111;102;80;94;68;51;36;55
"CONsub PROper VERcjg";2710;29;61;112;92;56;68;74;130;71;56;113;117;43;100;62;63;125;120;65;96;113;82;90;67;101;115;93;94;74;93;40;26;69
"VERcjg DETdef NOMcom";2677;58;76;133;110;90;120;87;75;55;78;117;70;43;110;55;84;74;95;61;86;82;72;75;81;108;81;90;83;108;75;57;41;47
"PROrel PROper VERcjg";2669;45;104;132;98;60;69;116;98;74;85;92;110;36;91;58;41;98;99;107;115;142;81;61;77;71;98;85;48;66;89;40;31;52
"NOMcom PRE NOMcom";2517;30;42;75;56;46;54;44;85;64;45;117;84;45;123;89;111;67;101;54;46;63;87;115;90;147;133;77;115;63;96;55;54;44
"DETpos NOMcom VERcjg";2481;11;98;107;107;71;92;109;69;95;51;57;68;20;59;34;75;90;106;80;87;84;68;74;37;108;74;57;75;130;102;47;54;85
"VERcjg DETpos NOMcom";2406;22;119;98;93;68;90;95;62;71;56;60;79;25;73;50;76;78;95;67;86;74;63;70;66;74;80;83;78;86;113;51;39;66
"VERcjg PROper VERinf";2097;19;60;99;72;40;66;58;60;56;62;72;60;36;54;36;62;127;81;83;82;117;52;67;53;78;79;57;58;73;45;51;21;61
"DETdef NOMcom VERcjg";2090;35;41;94;78;60;72;42;49;32;79;118;53;31;57;35;57;88;80;56;72;67;71;79;64;68;80;47;76;78;73;50;45;63
"PRE PROper VERinf";2078;23;64;97;81;55;59;79;85;66;93;71;96;26;59;28;53;90;100;62;92;75;60;92;54;74;61;66;44;56;39;24;21;33
"ADVneg VERcjg ADVneg";2072;14;38;71;41;26;51;22;90;37;74;87;92;29;56;37;49;92;112;66;69;97;92;107;68;90;83;84;64;69;49;28;38;50
