"frlemma";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"je";24036;171;597;934;754;508;724;554;893;669;652;838;990;510;1011;565;814;991;862;671;811;981;848;784;644;827;886;824;750;872;659;481;357;604
"le";22985;401;615;997;923;545;848;653;665;778;805;1092;715;320;807;438;739;836;843;586;808;749;792;681;702;771;772;717;757;725;643;453;344;465
"de";15632;213;411;539;463;248;438;462;517;469;537;656;563;201;543;285;434;548;681;387;518;577;591;545;520;628;649;528;514;505;494;347;301;320
"être";14600;133;313;572;556;303;499;332;494;510;422;565;568;225;506;304;379;710;654;419;526;567;440;434;330;494;443;409;509;580;468;316;269;351
"que";11807;136;273;395;339;200;300;336;446;232;369;567;492;214;419;239;323;497;538;339;501;495;422;371;356;415;468;365;368;389;313;260;151;279
"il";11717;82;271;469;417;216;414;239;462;491;396;369;429;179;427;251;418;543;550;293;424;453;307;379;279;372;435;295;420;370;369;231;173;294
"vous";11072;77;246;436;300;188;258;191;452;455;336;380;455;181;407;200;322;464;405;326;551;323;379;476;309;449;402;449;334;313;276;240;189;303
"ce";9575;85;190;295;292;185;279;248;348;328;288;362;350;165;365;245;243;393;396;277;329;430;358;301;268;332;333;284;312;331;353;228;165;217
"un";8610;111;232;320;244;183;242;228;299;255;245;230;263;101;318;166;229;333;355;278;310;361;324;319;261;375;359;301;306;244;279;190;149;200
"et";8524;141;307;431;294;151;318;256;254;328;245;351;268;99;218;110;191;249;270;183;236;205;295;327;291;309;401;342;325;332;279;180;171;167
"avoir";7917;55;167;248;218;120;207;153;273;356;219;257;284;170;296;178;219;397;380;211;324;344;247;239;209;272;300;296;291;279;234;140;129;205
"ne";7622;54;179;260;227;93;220;145;269;147;263;319;312;121;228;132;186;395;402;286;353;350;296;285;231;311;287;272;234;218;154;127;115;151
"mon";7213;29;290;233;238;171;212;278;272;297;195;157;228;82;195;131;222;224;287;154;240;200;225;247;154;274;295;236;243;296;350;173;191;194
"en";6643;69;116;212;204;136;173;141;230;301;227;264;269;102;265;142;200;289;329;188;236;262;252;237;200;253;253;199;214;202;163;118;95;102
"à";6523;63;163;242;217;124;195;151;254;258;214;249;238;84;210;123;200;283;271;210;256;273;225;243;170;249;243;211;158;204;167;120;122;133
"faire";4301;52;81;135;99;58;115;98;201;225;160;193;162;66;115;73;124;175;166;104;137;155;166;185;140;167;244;142;125;129;87;67;73;82
"son";4263;56;192;209;170;106;167;125;116;128;106;100;84;39;114;81;98;175;161;145;150;174;115;164;109;148;155;127;151;169;191;81;70;87
