"frlemma";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"faire";610;2;6;12;8;7;11;7;44;56;24;24;40;11;12;8;18;28;22;8;12;15;24;27;22;21;41;14;15;23;11;6;13;18
"je";587;2;12;18;16;7;20;15;24;22;12;18;28;12;39;19;27;15;26;9;23;15;25;13;12;13;16;20;15;29;22;19;9;15
"il";524;2;16;20;15;11;18;8;17;25;20;12;22;3;16;13;14;27;37;24;23;22;12;12;5;18;16;9;14;22;18;10;8;15
"vous";522;2;19;19;22;7;7;10;14;16;12;24;22;6;23;15;24;21;19;15;23;18;21;19;11;13;9;10;12;20;18;14;13;24
"pas";421;8;12;17;9;3;10;4;9;9;15;21;16;8;12;8;14;10;24;10;31;11;23;24;12;15;10;26;8;17;6;2;4;13
"dire";420;3;8;9;9;7;14;6;22;19;6;7;25;10;17;7;13;16;10;16;9;12;17;27;20;16;14;18;12;20;10;6;7;8
"bien";381;5;7;7;5;2;10;4;19;17;9;11;13;11;14;8;11;15;22;9;13;10;12;13;6;5;17;11;26;16;18;12;10;13
"même";307;6;7;12;9;7;14;12;10;9;9;10;9;4;19;6;7;15;13;10;24;14;9;7;4;7;5;5;9;12;7;2;6;8
"être";280;2;1;9;5;4;2;7;14;6;12;11;16;3;10;8;7;12;14;14;10;16;10;6;8;6;15;8;4;8;12;9;7;4
"aimer";279;1;7;11;4;8;11;7;6;7;11;4;7;6;15;2;9;13;14;14;16;15;10;12;3;8;1;4;6;12;12;6;5;12
"voir";270;2;3;7;11;4;6;3;23;6;6;10;15;10;13;13;15;7;6;5;4;10;11;12;2;10;9;16;5;10;5;2;4;5
"rien";259;1;6;11;5;0;5;3;9;8;6;9;11;9;14;7;7;12;11;12;10;11;10;5;4;8;7;7;12;12;9;6;8;4
"cœur";256;1;6;5;12;5;11;9;5;8;8;6;7;3;8;2;12;9;4;4;14;12;12;15;3;16;8;3;3;11;15;4;4;11
"affaire";254;1;0;6;0;0;2;0;13;15;5;6;12;3;17;5;4;13;8;3;0;3;8;13;9;22;14;14;19;11;9;6;10;3
"amour";245;1;7;2;3;2;15;5;6;2;21;0;7;4;16;1;12;8;10;5;13;12;18;14;6;16;4;7;3;3;10;3;4;5
"père";231;0;4;11;3;0;0;13;33;4;1;2;20;7;3;0;3;1;12;0;13;2;7;1;1;9;0;7;4;20;30;0;12;8
"monsieur";220;0;2;14;12;6;12;0;16;19;0;1;20;1;2;1;6;2;5;2;0;3;0;3;7;16;13;7;9;6;9;10;6;10
"vie";209;1;10;4;9;0;2;7;2;1;3;6;7;1;2;3;1;4;6;9;15;12;11;7;12;16;17;3;6;4;10;6;7;5
"plaire";202;4;0;6;2;5;6;6;12;9;11;6;4;2;5;0;1;7;7;9;3;8;16;8;9;9;7;2;5;7;8;7;5;6
"jour";200;3;11;6;6;3;5;10;5;1;14;1;10;3;7;2;3;9;9;3;14;4;9;10;6;9;7;7;5;6;3;0;5;4
"madame";194;1;2;4;4;4;10;0;10;19;0;1;11;4;6;8;2;5;4;7;1;6;3;5;1;13;3;1;6;7;16;6;8;16
"tu";189;0;1;4;8;3;3;5;11;5;1;3;17;1;14;3;9;8;15;1;3;6;4;7;4;5;10;5;7;5;8;4;2;7
"donc";182;0;1;6;4;3;3;0;4;7;6;10;18;3;4;5;2;6;15;5;9;3;4;6;6;12;4;3;8;9;5;2;4;5
"extrême";174;4;3;6;4;3;7;10;4;5;3;5;3;0;9;3;0;11;10;7;14;12;8;6;3;7;5;6;3;4;3;0;2;4
"croire";173;0;3;3;7;2;2;4;7;3;4;5;4;3;5;5;8;8;5;4;6;10;10;9;3;5;7;12;4;5;6;6;2;6
"bon";166;4;0;6;5;0;6;0;14;10;2;11;6;4;10;6;7;4;6;3;7;5;4;4;6;4;3;2;7;8;4;2;2;4
"entendre";162;0;3;2;7;0;2;3;13;7;4;5;10;2;9;3;7;8;6;7;8;11;4;4;5;7;1;4;4;3;2;2;1;8
"nous";160;0;3;3;6;2;1;2;5;8;10;7;6;3;9;5;13;5;7;3;5;1;4;8;3;1;3;4;8;9;2;5;4;5
"raison";157;4;6;7;4;0;5;3;4;3;2;8;6;4;9;3;4;3;8;7;3;7;2;4;6;7;9;2;7;7;6;2;2;3
