"word";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"de";11057;154;282;365;330;173;299;338;376;452;390;481;404;116;348;187;299;348;464;240;363;402;414;393;360;466;497;383;376;342;336;234;212;233
"je";10613;71;287;428;354;248;343;207;432;322;287;378;422;188;403;248;374;410;326;319;328;426;385;378;303;391;403;366;338;369;269;214;175;221
"vous";9810;74;218;405;272;174;227;173;415;419;302;335;396;165;374;182;289;405;340;285;459;282;339;423;268;407;365;398;297;264;236;204;157;261
"est";8581;85;200;372;344;178;331;188;306;300;229;305;317;146;306;183;224;390;422;253;306;355;250;257;169;279;231;215;288;339;243;187;163;220
"et";8524;141;307;431;294;151;318;256;254;328;245;351;268;99;218;110;191;249;270;183;236;205;295;327;291;309;401;342;325;332;279;180;171;167
"le";7051;99;186;324;283;173;269;195;260;257;193;329;233;99;233;127;201;256;267;181;235;242;242;229;196;260;256;218;199;230;194;143;105;137
"que";6963;61;172;226;198;115;149;214;252;232;212;324;287;115;219;118;185;317;294;211;301;301;262;219;204;252;274;228;219;226;180;144;95;157
"l'";6747;109;188;339;254;168;309;188;181;0;249;292;232;104;279;125;222;274;254;199;273;262;219;185;200;201;205;212;184;216;213;160;97;154
"en";6569;69;114;209;203;134;172;139;227;297;223;262;265;101;265;141;197;285;323;185;233;252;251;237;200;252;252;198;211;201;159;118;93;101
"à";6523;63;163;242;217;124;195;151;254;258;214;249;238;84;210;123;200;283;271;210;256;273;225;243;170;249;243;211;158;204;167;120;122;133
"un";6341;83;168;247;179;144;181;171;210;175;177;161;184;82;245;124;184;247;246;193;229;251;232;225;194;281;270;204;227;179;223;157;116;152
"il";6306;41;115;255;220;88;235;118;249;221;223;230;261;84;257;114;211;296;290;133;187;217;167;222;158;246;257;171;242;197;228;143;102;128
"la";6201;129;174;246;277;138;215;174;164;212;213;327;185;91;211;131;254;209;242;133;216;172;199;185;216;204;194;184;225;195;162;104;101;119
"qu'";4841;75;101;169;141;85;151;122;194;0;157;243;205;99;200;121;138;180;244;128;200;194;160;152;152;163;194;134;149;163;133;116;56;122
"d'";4558;59;129;174;133;75;139;124;141;0;147;175;159;85;195;98;135;200;217;147;155;175;177;152;160;162;152;145;138;163;158;113;89;87
"ne";4186;35;109;131;121;44;113;82;144;147;151;169;158;52;119;67;110;196;188;138;197;192;171;170;146;177;180;161;114;112;87;69;56;80
"pour";4021;24;148;193;167;95;172;132;134;177;134;155;139;67;144;88;154;116;135;85;105;93;115;151;133;151;127;127;148;117;93;71;51;80
"ce";3929;40;113;106;127;83;126;108;135;143;111;151;144;48;142;96;86;161;158;119;146;158;138;125;122;150;151;121;124;110;151;90;54;92
"j'";3735;31;80;154;137;90;96;81;112;0;101;125;137;119;155;116;144;164;151;93;131;146;137;115;116;115;122;123;146;137;128;67;59;107
"mon";3555;15;140;125;112;78;110;123;129;145;80;73;126;44;90;61;104;101;157;79;110;82;114;118;78;148;162;109;126;149;188;101;81;97
"n'";3436;19;70;129;106;49;107;63;125;0;112;150;154;69;109;65;76;199;214;148;156;158;125;115;85;134;107;111;120;106;67;58;59;71
"me";3373;29;78;111;90;60;98;101;121;106;99;111;156;55;161;52;99;138;139;86;112;141;113;110;88;118;134;142;110;126;94;64;46;85
"qui";3193;75;86;150;112;44;95;118;100;106;88;114;115;33;115;63;52;139;122;105;115;133;102;95;102;115;115;110;77;93;115;56;64;69
"on";3042;53;34;66;81;44;69;33;81;132;85;189;81;18;124;64;92;187;145;128;122;165;118;89;113;105;89;60;83;114;79;76;56;67
"m'";2964;22;88;119;90;63;98;94;104;0;91;93;127;77;118;62;81;143;136;102;114;137;109;86;72;106;120;91;85;99;68;58;36;75
"les";2737;63;67;88;109;66;55;96;60;68;147;144;65;26;83;55;62;97;80;73;84;73;132;82;90;106;117;100;149;84;74;46;41;55
"bien";2734;22;37;68;48;29;40;27;138;115;60;130;107;55;85;52;91;88;114;50;76;93;116;136;74;94;138;91;142;106;99;68;59;86
"plus";2678;51;96;108;119;57;110;48;50;51;61;77;67;32;101;59;66;126;144;105;143;128;88;79;94;96;84;103;76;70;61;42;31;55
"pas";2665;24;60;96;69;43;67;37;110;86;92;103;112;39;76;52;60;127;153;76;123;104;99;117;82;114;96;109;68;80;55;41;40;55
"c'";2664;20;31;89;87;55;89;52;124;0;85;114;103;96;128;90;85;109;104;89;80;119;85;74;50;77;84;68;88;114;104;68;44;59
"mais";2659;20;49;114;67;40;87;37;96;102;73;116;97;67;118;83;98;82;109;60;92;111;89;107;69;77;83;84;88;106;76;40;50;72
"ma";2623;6;106;67;98;65;71;85;107;124;79;63;68;28;78;50;103;79;102;60;99;82;76;98;46;92;87;91;90;108;97;50;95;73
"tout";2430;29;57;73;93;35;43;45;107;118;57;80;93;39;97;45;85;79;84;50;92;50;102;81;67;86;79;62;125;105;86;61;54;71
"a";2277;22;52;70;72;43;84;51;88;107;47;64;80;45;90;49;57;95;123;53;99;102;71;74;55;67;80;71;111;63;50;39;33;70
"dans";2274;20;75;98;89;48;39;79;75;87;73;114;58;13;63;29;62;59;63;36;51;75;83;78;96;93;114;90;79;89;101;48;43;54
"votre";2170;13;84;90;62;60;59;69;69;101;50;63;66;16;72;34;70;70;96;46;87;43;69;107;47;98;77;77;68;68;68;51;59;61
"si";2135;11;75;66;70;37;51;61;81;70;44;95;97;27;57;30;33;103;102;50;78;101;97;62;61;82;87;78;59;56;79;50;42;43
"ai";2111;14;41;88;79;38;69;33;72;66;62;57;79;69;77;55;63;105;92;55;73;83;59;57;65;68;72;98;71;69;65;38;30;49
"elle";2006;14;85;91;94;55;76;40;90;142;39;32;44;39;55;49;91;62;114;55;107;85;45;63;47;34;27;41;69;72;21;15;27;86
"moi";1993;9;37;84;50;29;60;40;85;92;44;91;98;49;123;52;83;58;55;35;65;54;73;57;50;57;63;77;51;89;51;49;27;56
"nous";1984;21;37;38;48;23;37;17;81;118;93;81;75;16;62;36;116;80;56;68;69;75;60;100;71;72;79;68;67;72;42;26;44;36
"une";1971;22;57;65;57;35;55;48;80;70;60;57;66;15;60;38;40;76;100;77;71;101;77;88;58;75;84;86;58;60;44;26;27;38
"son";1942;24;82;96;86;63;84;61;59;48;47;50;36;24;60;37;45;81;66;54;71;71;58;71;48;67;69;57;64;72;84;39;35;33
"des";1796;43;52;51;54;40;29;40;33;59;60;90;46;26;53;14;36;78;79;57;61;77;81;44;78;81;63;58;82;60;59;43;25;44
"fait";1729;28;32;51;42;13;53;33;69;105;62;77;59;25;55;30;45;70;61;43;59;69;78;72;42;69;85;55;54;42;48;24;35;44
"du";1727;35;47;61;57;37;62;53;45;58;40;86;44;24;54;29;56;71;64;54;57;59;46;57;59;72;51;56;52;64;49;44;49;35
"monsieur";1636;3;25;100;92;36;48;1;151;84;0;28;62;20;98;39;40;46;39;21;10;17;4;75;48;107;108;66;88;17;38;49;42;34
"au";1623;29;30;70;54;34;34;41;69;44;30;92;73;33;59;39;58;56;76;39;51;55;40;65;45;53;71;62;46;42;44;36;27;26
"par";1562;35;44;72;43;37;66;66;41;65;49;75;62;32;84;58;53;40;44;32;47;29;53;47;37;45;57;29;51;43;37;28;28;33
"s'";1553;15;26;61;51;28;44;36;49;0;59;73;59;17;54;30;42;71;75;46;56;73;77;61;59;52;69;49;47;49;45;30;26;24
"lui";1455;12;32;60;44;36;64;47;49;74;43;38;58;28;52;34;46;73;51;52;50;61;37;42;30;40;58;36;52;31;55;30;16;24
"sa";1435;9;69;79;57;23;57;43;34;53;35;32;25;11;33;32;35;51;63;52;58;69;29;54;36;45;44;43;55;55;70;25;27;32
"sans";1434;24;36;42;41;22;55;34;52;50;55;61;64;20;50;20;34;45;54;36;42;60;46;47;48;50;43;47;44;42;47;50;33;40
"point";1432;3;16;31;17;8;33;20;55;61;55;72;73;19;45;30;40;63;64;45;37;66;65;80;50;62;60;42;49;51;35;25;29;31
"suis";1409;6;29;61;54;38;40;41;62;37;42;62;74;29;56;35;32;52;33;23;29;45;49;40;36;63;52;42;44;67;55;31;23;27
"se";1313;10;29;57;30;19;27;27;50;51;44;37;56;9;57;33;44;64;42;45;54;61;53;54;43;50;33;39;46;50;31;23;20;25
"-vous";1263;4;28;31;28;14;31;18;37;36;34;45;59;16;33;18;33;59;65;41;92;41;40;53;41;42;37;51;37;49;40;36;32;42
"faut";1256;4;13;40;35;12;39;10;44;63;46;54;43;24;33;32;48;65;53;31;49;53;28;38;40;53;53;35;38;36;46;32;29;37
"ah";1244;1;22;16;38;25;21;27;42;40;15;9;46;17;41;27;54;62;58;46;65;49;24;53;27;54;51;19;59;61;65;28;26;56
