"frpos";"F";"BOURSAULT_COMEDIESANSTITRE";"BOURSAULT_DEUXFRERESGEMEAUX";"BOURSAULT_JALOUXENDORMI";"BOURSAULT_MEDECINVOLANT";"BOURSAULT_MORTVIVANT";"BOURSAULT_MOTSALAMODE";"BOURSAULT_PORTRAITDUPEINTRE";"BOURSAULT_SATIREDESSATIRES";"CHEVALIER_AMOURSDECALOTIN";"CHEVALIER_BARBONSAMOUREUX";"CHEVALIER_CARTELDEGUILLOT";"CHEVALIER_DESOLATIONDESFILOUS";"CHEVALIER_DISGRACEDESDOMESTIQUES";"CHEVALIER_GALANTSRIDICULES";"CHEVALIER_INTRIGUEDESCARROSSES";"CHEVALIER_PEDAGOGUEAMOUREUX";"CORNEILLEP_DONSANCHE";"CORNEILLEP_GALERIEDUPALAIS";"CORNEILLEP_ILLUSIONCOMIQUE";"CORNEILLEP_MELITE";"CORNEILLEP_MELITE33";"CORNEILLEP_MENTEUR";"CORNEILLEP_PLACEROYALE";"CORNEILLEP_PULCHERIE";"CORNEILLEP_SUITEMENTEUR";"CORNEILLEP_SUIVANTE";"CORNEILLEP_TITE";"CORNEILLEP_VEUVE34";"CORNEILLET_AMOURALAMODE";"CORNEILLET_CHARMEDELAVOIX";"CORNEILLET_COMTESSEORGUEIL";"CORNEILLET_DOMBERTRANDECIGARRAL";"CORNEILLET_DOMCESARDAVALOS";"CORNEILLET_FEINTASTROLOGUE";"CORNEILLET_FESTINPIERRE";"CORNEILLET_GALANTDOUBLE";"CORNEILLET_GEOLIERDESOISMEME";"CORNEILLET_ILLUSTRESENNEMIS";"CORNEILLET_INCONNU";"DONNEAUDEVISE_COCUEIMAGINAIRE";"DONNEAUDEVISE_EMBARRASDEGODARD";"DONNEAUDEVISE_GENTILHOMMEGUEPIN";"DONNEAUDEVISE_INTRIGUESDELALOTERIE";"DONNEAUDEVISE_MERECOQUETTE";"DONNEAUDEVISE_VEUVEALAMODE";"DORIMOND_AMOURSDETRAPOLIN";"DORIMOND_COMEDIEDELACOMEDIE";"DORIMOND_FEMMEINDUSTRIEUSE";"GILLET_CAMPAGNARD";"GILLET_DENIAISE";"GILLET_FRANCION";"LAFONTAINE_CLIMENE";"LAFONTAINE_EUNUQUE";"LAFONTAINE_FLORENTIN";"LAFONTAINE_RAGOTIN";"MOLIERE_AMPHITRYON";"MOLIERE_DEPITAMOUREUX";"MOLIERE_DOMGARCIEDENAVARRE";"MOLIERE_ECOLEDESFEMMES";"MOLIERE_ECOLEDESMARIS";"MOLIERE_ETOURDI";"MOLIERE_FACHEUX";"MOLIERE_FEMMESSAVANTES";"MOLIERE_MELICERTE";"MOLIERE_MISANTHROPE";"MOLIERE_SGANARELLE";"MOLIERE_TARTUFFE";"OUVILLE_ABSENTCHEZSOI";"OUVILLE_FAUSSESVERITES";"OUVILLE_SOUPCONS";"QUINAULT_COMEDIESANSCOMEDIE";"QUINAULT_DOCTEURDEVERRE";"QUINAULT_MERECOQUETTE";"ROTROU_BAGUEDELOUBLI";"ROTROU_BELLEALPHREDE";"ROTROU_CAPTIFS";"ROTROU_SOSIES";"SCARRON_BOUTADESMATAMORE";"SCARRON_DOMJAPHETDARMENIE";"SCARRON_GARDIENDESOIMEME";"SCARRON_HERITIERRIDICULE";"SCARRON_JODELET";"SCARRON_JODELETDUELISTE";"SCARRON_MARQUISRIDICULE";"SCARRON_PRINCECORSAIRE"
"PROper PROper VERcjg";15881;188;316;61;91;128;72;75;97;143;107;74;67;87;78;159;241;239;220;216;175;195;290;221;236;309;231;205;248;301;224;316;317;267;303;301;287;237;266;271;72;101;91;108;145;65;50;27;104;185;256;253;88;256;51;158;186;232;141;253;136;236;120;193;76;200;71;250;377;322;220;186;41;265;115;181;233;174;144;207;225;252;309;265;252;150
"NOMcom PROper VERcjg";15051;216;258;85;89;120;73;67;91;99;96;80;71;55;62;107;175;204;235;240;215;238;198;171;210;280;217;195;263;243;284;270;262;240;213;234;250;257;286;284;72;104;92;105;157;77;63;25;106;173;202;251;65;251;55;162;179;210;213;192;122;248;110;175;72;189;84;242;267;232;249;249;51;219;217;278;252;238;255;193;219;178;195;206;190;134
"PRE DETpos NOMcom";13112;139;140;77;28;125;54;39;57;90;68;39;26;60;43;84;163;227;275;257;275;301;197;259;215;179;275;223;333;201;293;147;166;128;180;144;160;224;225;178;70;49;59;66;147;38;53;12;65;101;162;164;48;210;79;157;193;206;289;162;119;248;102;216;89;156;73;197;176;173;183;218;35;170;223;274;259;234;186;160;205;111;134;133;174;240
"PROper VERcjg PRE";11099;177;138;35;47;83;58;49;64;89;68;43;39;59;36;87;153;179;201;158;146;171;171;143;180;195;176;172;209;200;185;195;167;172;188;186;184;136;170;203;62;62;65;79;106;54;32;25;61;129;159;221;39;180;51;97;145;156;136;152;102;210;89;162;58;174;66;177;231;216;192;155;41;140;134;179;169;151;114;115;192;137;155;166;140;111
"PROper VERcjg ADVgen";10883;120;145;54;39;63;62;43;72;105;123;41;50;50;50;113;172;147;183;138;165;176;177;122;120;183;154;124;185;187;135;167;233;137;202;182;163;145;147;162;65;85;93;115;145;74;48;19;69;129;142;190;53;166;36;89;104;137;90;136;112;198;67;134;47;124;55;148;242;207;122;138;31;213;109;108;138;108;193;164;188;227;224;263;194;108
"CONsub PROper VERcjg";8285;107;123;29;45;83;48;34;73;89;78;44;31;50;52;95;129;122;120;101;101;105;113;93;91;129;131;120;109;125;128;168;108;151;157;133;114;95;136;114;52;52;62;78;120;54;34;16;44;119;125;180;35;110;29;49;70;127;109;110;67;134;48;100;34;82;39;100;187;168;97;106;24;145;123;93;121;97;82;101;145;149;160;183;151;100
"PRE DETdef NOMcom";8263;136;115;46;51;68;55;49;81;65;42;35;42;39;46;57;87;99;93;121;108;129;116;75;148;117;73;130;114;99;127;121;125;94;109;123;123;123;95;147;35;44;39;51;53;39;53;25;75;99;163;167;59;112;36;111;118;103;106;149;63;139;66;156;29;126;51;127;123;93;131;134;26;95;113;160;163;156;179;114;136;94;127;151;126;125
"PROper VERcjg VERppe";8178;99;144;31;30;49;34;29;47;48;31;33;44;27;25;69;86;138;88;129;94;104;168;89;107;161;102;92;97;121;137;178;129;175;168;167;182;118;154;155;40;46;52;56;68;26;15;1;54;82;115;140;43;131;28;150;100;107;112;139;75;170;76;97;35;75;39;118;145;179;129;111;31;158;89;124;130;118;54;119;102;123;126;156;118;97
"PROrel PROper VERcjg";7919;112;113;31;19;56;51;25;69;53;68;25;38;23;24;48;87;123;99;94;125;134;100;96;126;125;94;137;120;124;145;85;105;81;120;156;153;130;176;169;45;32;38;41;42;20;4;6;32;85;128;171;17;81;22;47;132;126;155;104;77;162;58;121;37;121;45;125;182;183;113;124;18;123;106;145;142;113;76;101;121;120;125;165;109;120
"DETdef NOMcom PRE";7397;105;75;37;30;57;68;44;39;54;42;24;31;25;36;43;92;123;115;120;123;131;96;76;143;107;101;179;119;102;141;115;102;103;100;89;89;143;127;119;30;24;30;39;56;16;44;33;52;81;128;130;34;91;39;91;99;108;143;101;67;103;52;130;29;125;55;137;107;91;111;94;16;88;117;159;119;116;169;96;113;89;85;81;91;123
