"frlemma";"F";"BOURSAULT_COMEDIESANSTITRE";"BOURSAULT_DEUXFRERESGEMEAUX";"BOURSAULT_JALOUXENDORMI";"BOURSAULT_MEDECINVOLANT";"BOURSAULT_MORTVIVANT";"BOURSAULT_MOTSALAMODE";"BOURSAULT_PORTRAITDUPEINTRE";"BOURSAULT_SATIREDESSATIRES";"CHEVALIER_AMOURSDECALOTIN";"CHEVALIER_BARBONSAMOUREUX";"CHEVALIER_CARTELDEGUILLOT";"CHEVALIER_DESOLATIONDESFILOUS";"CHEVALIER_DISGRACEDESDOMESTIQUES";"CHEVALIER_GALANTSRIDICULES";"CHEVALIER_INTRIGUEDESCARROSSES";"CHEVALIER_PEDAGOGUEAMOUREUX";"CORNEILLEP_DONSANCHE";"CORNEILLEP_GALERIEDUPALAIS";"CORNEILLEP_ILLUSIONCOMIQUE";"CORNEILLEP_MELITE";"CORNEILLEP_MELITE33";"CORNEILLEP_MENTEUR";"CORNEILLEP_PLACEROYALE";"CORNEILLEP_PULCHERIE";"CORNEILLEP_SUITEMENTEUR";"CORNEILLEP_SUIVANTE";"CORNEILLEP_TITE";"CORNEILLEP_VEUVE34";"CORNEILLET_AMOURALAMODE";"CORNEILLET_CHARMEDELAVOIX";"CORNEILLET_COMTESSEORGUEIL";"CORNEILLET_DOMBERTRANDECIGARRAL";"CORNEILLET_DOMCESARDAVALOS";"CORNEILLET_FEINTASTROLOGUE";"CORNEILLET_FESTINPIERRE";"CORNEILLET_GALANTDOUBLE";"CORNEILLET_GEOLIERDESOISMEME";"CORNEILLET_ILLUSTRESENNEMIS";"CORNEILLET_INCONNU";"DONNEAUDEVISE_COCUEIMAGINAIRE";"DONNEAUDEVISE_EMBARRASDEGODARD";"DONNEAUDEVISE_GENTILHOMMEGUEPIN";"DONNEAUDEVISE_INTRIGUESDELALOTERIE";"DONNEAUDEVISE_MERECOQUETTE";"DONNEAUDEVISE_VEUVEALAMODE";"DORIMOND_AMOURSDETRAPOLIN";"DORIMOND_COMEDIEDELACOMEDIE";"DORIMOND_FEMMEINDUSTRIEUSE";"GILLET_CAMPAGNARD";"GILLET_DENIAISE";"GILLET_FRANCION";"LAFONTAINE_CLIMENE";"LAFONTAINE_EUNUQUE";"LAFONTAINE_FLORENTIN";"LAFONTAINE_RAGOTIN";"MOLIERE_AMPHITRYON";"MOLIERE_DEPITAMOUREUX";"MOLIERE_DOMGARCIEDENAVARRE";"MOLIERE_ECOLEDESFEMMES";"MOLIERE_ECOLEDESMARIS";"MOLIERE_ETOURDI";"MOLIERE_FACHEUX";"MOLIERE_FEMMESSAVANTES";"MOLIERE_MELICERTE";"MOLIERE_MISANTHROPE";"MOLIERE_SGANARELLE";"MOLIERE_TARTUFFE";"OUVILLE_ABSENTCHEZSOI";"OUVILLE_FAUSSESVERITES";"OUVILLE_SOUPCONS";"QUINAULT_COMEDIESANSCOMEDIE";"QUINAULT_DOCTEURDEVERRE";"QUINAULT_MERECOQUETTE";"ROTROU_BAGUEDELOUBLI";"ROTROU_BELLEALPHREDE";"ROTROU_CAPTIFS";"ROTROU_SOSIES";"SCARRON_BOUTADESMATAMORE";"SCARRON_DOMJAPHETDARMENIE";"SCARRON_GARDIENDESOIMEME";"SCARRON_HERITIERRIDICULE";"SCARRON_JODELET";"SCARRON_JODELETDUELISTE";"SCARRON_MARQUISRIDICULE";"SCARRON_PRINCECORSAIRE"
"je";1432;12;35;8;9;9;11;12;13;6;8;6;4;6;4;9;27;26;12;14;14;31;27;12;28;10;14;21;24;35;31;27;21;31;20;48;29;18;20;29;7;21;22;21;12;7;5;0;7;10;18;17;7;16;8;25;27;23;10;16;7;19;9;11;10;17;14;15;36;39;11;18;1;22;10;13;32;18;9;12;20;22;15;17;15;20
"vous";1397;27;25;9;10;12;10;7;10;6;12;2;3;2;4;20;11;28;15;15;6;7;24;8;26;23;10;32;7;29;20;37;30;30;26;35;25;21;31;37;5;9;24;15;21;9;4;0;10;20;25;19;5;14;7;14;15;14;20;18;8;15;4;28;11;27;3;33;27;35;8;20;8;43;5;12;13;10;5;13;11;20;18;22;26;12
"faire";1197;22;12;5;6;8;13;6;16;20;15;13;15;10;4;6;23;16;7;3;2;8;14;7;11;22;8;11;12;20;7;31;18;24;21;34;19;8;14;31;14;7;13;17;8;13;2;1;10;19;9;14;5;25;5;7;18;17;10;19;12;18;12;26;6;26;6;21;25;14;16;10;5;28;6;10;10;7;2;23;30;20;18;15;38;18
"pas";1149;36;23;14;1;14;8;11;11;1;6;5;0;1;6;3;5;6;10;9;14;13;9;8;12;12;12;14;12;19;11;27;16;26;8;34;17;18;15;21;4;7;8;15;17;11;6;3;5;13;15;15;7;3;8;13;32;13;10;23;9;20;9;22;4;22;3;17;17;20;12;22;7;21;21;26;27;42;13;20;15;14;13;14;13;10
"il";1081;12;16;8;2;10;6;5;4;11;3;5;2;1;2;8;18;19;17;13;12;17;17;10;29;15;19;16;11;12;24;25;18;22;8;23;24;4;20;26;5;10;7;10;19;5;3;1;3;16;25;19;12;15;6;20;6;11;8;15;17;19;3;12;3;15;8;17;28;20;16;9;4;31;7;12;17;9;3;17;13;12;24;19;12;4
"dire";980;8;16;2;3;4;8;9;20;5;7;6;5;3;4;7;12;10;14;6;5;7;20;7;13;17;5;18;13;18;15;28;21;20;20;38;16;5;7;22;7;7;7;13;21;9;1;0;3;11;16;7;12;10;3;7;23;23;17;21;13;14;11;25;3;16;4;28;17;18;11;9;4;31;0;4;8;3;4;8;10;17;12;15;6;7
"bien";837;17;16;3;4;5;10;4;10;7;9;4;8;4;5;12;13;7;11;7;4;6;14;5;6;11;5;9;11;14;10;13;12;16;15;20;9;5;9;10;5;6;6;20;9;8;2;1;7;13;20;14;3;9;3;7;10;19;7;19;5;25;3;12;4;10;7;19;16;8;11;8;2;22;1;4;20;3;4;6;11;31;14;27;16;0
"être";775;25;18;4;5;8;14;2;12;9;3;3;5;1;3;3;8;9;4;3;6;5;7;3;10;10;4;5;3;10;10;18;9;14;11;19;25;19;7;11;5;1;5;10;4;1;4;1;3;13;16;11;2;0;0;2;20;10;4;16;6;13;6;10;4;17;3;11;18;22;15;10;2;13;9;11;18;12;3;11;16;15;19;15;19;4
"rien";695;9;13;2;2;6;10;2;11;5;8;6;9;2;4;8;8;5;10;7;4;4;10;0;12;9;4;15;7;14;9;14;15;13;16;18;11;7;12;15;0;7;2;16;6;4;1;0;3;10;10;12;3;5;6;14;10;13;6;10;4;15;3;10;4;8;4;17;6;10;11;9;4;21;2;2;9;1;1;7;11;24;8;18;11;1
"même";668;5;15;3;2;6;2;6;3;1;2;1;0;1;1;6;15;14;5;6;7;7;8;6;18;11;4;7;8;15;14;14;7;18;14;15;14;22;15;15;4;8;5;10;1;2;1;0;4;7;4;1;4;5;7;3;9;16;11;7;9;10;4;6;3;8;1;10;11;16;10;5;1;14;6;11;19;19;3;6;13;6;9;14;8;4
