label,tei:l count,verse
scene 0-1,1,1
scene 0-2,56,56
scene 0-3,182,181
Prol. Mus. Com.,258,257
scene 1-1,295,294
scene 1-2,418,417
scene 1-3,490,486
scene 1-4,604,598
scene 1-5,640,633
scene 1-6,691,683
scene 1-7,763,749
scene 1-8,781,765
scene 1-9,797,780
scene 2-1,864,846
scene 2-2,916,896
scene 2-3,966,946
scene 2-4,1057,1035
scene 2-5,1141,1115
scene 2-6,1173,1147
scene 2-7,1234,1205
scene 2-8,1386,1346
scene 3-1,1409,1368
scene 3-2,1513,1471
scene 3-3,1601,1556
scene 3-4,1623,1577
scene 3-5,1668,1621
scene 3-6,1677,1630
scene 3-7,1726,1677
scene 3-8,1842,1789
scene 3-9,1866,1812
scene 4-1,1905,1850
scene 4-2,1973,1917
scene 4-3,2036,1980
scene 4-4,2096,2038
scene 4-5,2197,2136
scene 4-6,2317,2255
scene 4-7,2327,2265
scene 4-8,2358,2295
scene 4-9,2389,2325
scene 4-10,2423,2358
scene 5-1,2451,2385
scene 5-2,2517,2449
scene 5-3,2579,2510
scene 5-4,2673,2595
scene 5-5,2733,2654
scene 5-6,2762,2681
scene 5-7,2876,2794
scene 5-8,2905,2821
scene 5-9,2916,2832
scene 5-10,2933,2849
scene 5-11,2948,2864
