label,tei:l count,verse
scene 0-1,1,1
scene 1-1,170,170
scene 1-2,313,313
scene 1-3,384,384
scene 1-4,505,505
scene 1-5,521,517
scene 1-6,541,537
scene 2-1,550,571
scene 2-2,712,733
scene 2-3,764,785
scene 2-4,788,809
scene 2-5,879,899
2nd interm.,886,906
scene 3-1,905,925
scene 3-2,975,995
scene 3-3,1012,1032
3e interm.,1198,1218
scene 4-1,1258,1278
scene 4-2,1332,1352
scene 4-3,1411,1431
scene 4-4,1534,1551
scene 4-5,1579,1596
scene 5-1,1649,1666
scene 5-2,1694,1711
scene 5-3,1783,1799
scene 5-4,1815,1831
scene 5-5,1857,1873
scene 5-6,1953,1969
ballets,2069,2085
